t,x1_x2_x3_1,x1_x2_x3_2,x1_x2_x3_3,xhat1_xhat2_xhat3_1,xhat1_xhat2_xhat3_2,xhat1_xhat2_xhat3_3,u
0,1,1,1,0,0,0,0
0.01,0.99,1.01,1.01,0.300000000000335,6.920000000019,3.32000000000676,-250.420000000668
0.02,0.9803,1.0201,-1.48410000000668,0.534200000000527,11.7280000000299,3.21180000000395,-402.59960000099
0.03,0.945852999999933,1.00525899999993,-5.47485300001651,0.689464000000547,14.8471300000347,0.869297999995879,-480.863450001073
0.04,0.872187409999769,0.950510469999768,-10.2086337900271,0.761284400000397,16.6300348600353,-2.79987540001442,-504.678383720999
0.05,0.752657323899503,0.848424132099497,-15.1343210799368,0.751330861000094,17.3694849352329,-7.11786179282489,-489.50876920903
0.06,0.586260966622145,0.697080921300129,-19.8610970785857,0.665523564721666,17.3074854405686,-11.5899773114562,-447.533167600925
0.07,0.375924776503845,0.498469950514272,-24.1238761653831,0.512534540882787,16.6430884886039,-15.8664113312305,-388.243526031601
0.08,0.127167519319936,0.257231188860441,-27.755103265035,0.302636807439098,15.5390848057867,-19.7108651262011,-318.945017227046
0.09,-0.152926863716813,-0.0203198437899096,-30.6618577808779,0.0468346335924975,14.1277286807367,-22.9749829876507,-245.171966993942
0.1,-0.456486904251256,-0.326938421598689,-32.8073652698844,-0.243780338148719,12.515629289476,-25.5776064251671,-171.033020451175
0.11,-0.775430818865074,-0.655012074297533,-34.1961605901293,-0.558492765468248,10.7879237877907,-27.4880337790995,-99.4967354938129
0.12,-1.10188380838907,-0.996973680198825,-34.862266580652,-0.887284663968999,9.01183212048958,-28.7125966577698,-32.6271119276459
0.13,-1.4284687980278,-1.34559634600535,-34.859854507726,-1.22104468059341,7.23968007452095,-29.2839743275348,28.2228725213626
0.14,-1.74849796714451,-1.69419489108261,-34.2559391643552,-1.55169076548728,5.51146543859564,-29.252760327439,82.2528766154289
0.15,-2.05608739944517,-2.03675428272616,-33.124734904379,-1.87222671394916,3.85703199984947,-28.6808745587418,129.086166891645
0.16,-2.34621300050006,-2.36800163176995,-31.5433609720733,-2.17674913090646,2.29790731062615,-27.6364809800889,168.665047488044
0.17,-2.61472235021079,-2.68343524149068,-29.5886369201075,-2.46041811896735,0.848852523234332,-26.190127596247,201.166613265822
0.18,-2.85831427240765,-2.97932161069175,-27.334753123078,-2.71940230192356,-0.480834032935635,-24.4118731848908,226.935340812187
0.19,-3.07449551819027,-3.25266914192253,-24.8516386159392,-2.95080657887927,-1.68622360053708,-22.3692054675869,246.429584688831
0.2,-3.26152199398586,-3.50118552808193,-22.2038797657299,-3.15258918377089,-2.76584311524746,-20.1255893165468,260.179515985528
0.21,-3.41833035176344,-3.72322432573923,-19.450069518779,-3.32347313632547,-3.72091405510257,-17.7395120557454,268.754438856015
0.22,-3.54446443991596,-3.91772502092702,-16.6424889215459,-3.46285595878784,-4.55472110649259,-15.2639167829846,272.737758578261
0.23,-3.6400000403331,-4.08414991014247,-13.8270409469663,-3.57072055178039,-5.27209096373061,-12.7459346088479,272.70816066367
0.24,-3.7054704489961,-4.22242031961214,-11.0433719290628,-3.6475493333991,-5.87896437060515,-10.2268433773928,269.225802255703
0.25,-3.74179475930681,-4.33285403890277,-8.3251285936074,-3.69424311518417,-6.38204692431145,-7.74219431225641,262.822521042722
0.26,-3.75021015005675,-4.41610532483884,-5.70030917802216,-3.71204568923986,-6.78852624476361,-5.32205955568036,253.995238765839
0.27,-3.73220903883584,-4.47310841661906,-3.19167580508033,-3.70247470925694,-7.10584490917402,-2.99136310727277,243.201880931253
0.28,-3.68948161610992,-4.50502517466986,-0.817202406049376,-3.66725914501821,-7.34152010093324,-0.770265539273111,230.859255648267
0.29,-3.62386400784822,-4.51319719873036,1.40946167100039,-3.6082833588381,-7.50300225628104,1.32542066655899,217.342436125448
0.3,-3.53729211098125,-4.49910258202035,3.47852747157026,-3.52753767969879,-7.59756614076577,3.28380302130856,202.985276273631
0.31,-3.43176099404592,-4.46431730730465,5.38361290795047,-3.42707522527647,-7.63222877502751,5.09648171915864,188.081759652623
0.32,-3.3092896450855,-4.41048117822515,7.1213080292511,-3.30897463421019,-7.61368947772063,6.75813317067812,172.887940848327
0.33,-3.17189077189128,-4.33926809793264,8.69076473387736,-3.1753083130818,-7.54828802127099,8.26611162179416,157.624287145279
0.34,-3.02154530911468,-4.25236045059386,10.0933145960327,-3.02811576824506,-7.44197752001458,9.62007385335614,142.478268655526
0.35,-2.86018125697206,-4.15142730463354,11.3321169276158,-2.86938157660748,-7.30030920429864,10.8216301752905,127.60707823012
0.36,-2.68965646255646,-4.03810613535738,12.4118379945481,-2.7010175474318,-7.12842669066842,11.8740235329425,113.140389662612
0.37,-2.51174495335985,-3.9139877554119,13.3383613885216,-2.52484863569113,-6.93106774800143,12.781837462212,99.1830848690645
0.38,-2.32812644040743,-3.78060414152668,14.1185288682188,-2.3426021836558,-6.71257189164658,13.5507328066604,85.8178987217793
0.39,-2.1403786229171,-3.63941885284449,14.7599104839239,-2.15590008894156,-6.47689242030101,14.1872124955634,73.1079447227375
0.4,-1.94997194561952,-3.49181974800525,15.2706024492551,-1.96625352239975,-6.22761175045577,14.6984132366304,61.0990963177116
0.41,-1.75826648221457,-3.3391137235127,15.6590509929796,-1.77505984655138,-5.96795910676991,15.0919226673426,49.8222078708994
0.42,-1.56651064264049,-3.1825232135829,15.9339002872885,-1.58360141364588,-5.70082979888548,15.3756203068411,39.2951665618281
0.43,-1.37584142691479,-3.02318421071002,16.1038624857623,-1.39304595100293,-5.42880546045945,15.5575405331513,29.5247720833322
0.44,-1.18728597351887,-2.8621455858524,16.1776078975238,-1.20444826942491,-5.15417474843772,15.6457557594166,20.5084453069828
0.45,-1.00176417507326,-2.70036950687716,16.1636733599013,-1.01875305767043,-4.87895410317346,15.6482779823317,12.2357702875544
0.46,-0.820092157972779,-2.53873277327815,16.0703869390403,-0.836798551914546,-4.6049082557774,15.5729769135431,4.68987630724488
0.47,-0.64298644542292,-2.37802890388774,15.9058071772568,-0.659320893558287,-4.33357024056463,15.4275129702514,-2.15133171486938
0.48,-0.471068644741894,-2.21897083211517,15.6776752102578,-0.486959011543992,-4.06626072976506,15.2192834863984,-8.31408505973591
0.49,-0.304870519744478,-2.0621940800126,15.3933781909155,-0.320259886408493,-3.80410655663025,14.9553806041249,-13.8277952841811
0.5,-0.144839327440433,-1.90826029810344,15.0599225745643,-0.159684072639865,-3.54805833327373,14.6425594114338,-18.7242202560647
0.51,0.00865668485401888,-1.7576610723578,14.683915940296,-0.00561137351289484,-3.29890710237904,14.2872150021556,-23.0367418638097
0.52,0.155322710559898,-1.61082191295484,14.2715561408078,0.141653421488998,-3.05729998845817,13.8953672452266,-26.799745311911
0.53,0.294931817756778,-1.46810635154676,13.8286266880215,0.281874812232758,-2.82375483563501,13.4726521596015,-30.0480902593952
0.54,0.427319448281857,-1.32982008466655,13.3604973915164,0.414880939241329,-2.59867383581253,13.0243188970387,-32.8166645096232
0.55,0.552378033231383,-1.19621511075138,12.8721293708116,0.540558062139052,-2.38235616428146,12.5552314362705,-35.1400114830104
0.56,0.670051766274872,-1.06749381704327,12.3680836600584,0.658845206586679,-2.17500964995959,12.0698741878187,-37.0520232719008
0.57,0.780331567549959,-0.943812980442682,11.8525327143979,0.769729012239594,-1.9767615150389,11.5723607983871,-38.5856916675208
0.58,0.883250263342939,-0.825287653298702,11.3292742109699,0.873238806571786,-1.7876682243071,11.0664455270578,-39.7729101459774
0.59,0.978878000185779,-0.711994911189003,10.8017466143344,0.969441922742277,-1.60772448817996,10.5555366423216,-40.6443203909087
0.6,1.06731790632541,-0.603977445045659,10.2730460460582,1.0584392739437,-1.43687146584753,10.0427113593382,-41.2291975050914
0.61,1.14870200865948,-0.501246984585077,9.74594406164582,1.14036119177272,-1.27500421617257,9.53073190088424,-41.5553686151177
0.62,1.22318740910275,-0.403787543968618,9.22290599518649,1.21536353201214,-1.1219784443072,9.02206232346486,-41.6491600973169
0.63,1.29095272087256,-0.311558484016754,8.70610958338208,1.28362404773373,-0.977616591605392,8.51888580231178,-41.5353691462322
0.64,1.35219476228893,-0.224497388182933,8.1974636264056,1.34533902674383,-0.841713315461448,8.02312211581518,-41.2372558673388
0.65,1.40712550330721,-0.142522751918877,7.6986264837045,1.40072018803064,-0.71404040433105,7.53644511168421,-40.7765525024723
0.66,1.45596925807811,-0.0655364870818317,7.21102423880435,1.44999182996984,-0.594351171500206,7.06029997417428,-40.1734867896524
0.67,1.49896011530459,0.00657375530621181,6.73586839877815,1.49338822154467,-0.482384369249123,6.59592014442551,-39.4468168192236
0.68,1.53633959698628,0.0739324392939933,6.27417302170426,1.53115122668601,-0.3778676629861,6.14434377468701,-38.6138750765699
0.69,1.5683545352636,0.136674169511036,5.82677118950739,1.56352815098924,-0.28052070276125,5.70642962231166,-37.6906196594772
0.7,1.5952551564534,0.19494188140611,5.39433076440777,1.59076979947488,-0.190057827359502,5.28287231122944,-36.6916909271362
0.71,1.61729336096841,0.248885189050187,4.97736938512045,1.61312873369123,-0.106190433955782,4.8742169074673,-35.630472079547
0.72,1.63472118760024,0.298658882901392,4.57626867425478,1.63085771627524,-0.0286290441229868,4.48087277147829,-34.5191523825433
0.73,1.64778945059079,0.34442156964394,4.19128764134483,1.64420833106202,0.0429149051609269,4.10312666385467,-33.3687919466556
0.74,1.65674653799242,0.386334446057388,3.8225752768577,1.65342976693796,0.108727518938626,3.74115509268832,-32.189387139417
0.75,1.66183736000115,0.424560198825965,3.4701823416161,1.65876775384242,0.169091125562459,3.39503590064688,-30.9899358622933
0.76,1.66330243621729,0.459262022242126,3.13407236355353,1.66046363961966,0.224283159187383,3.06475909797572,-29.7785020569188
0.77,1.66137711112848,0.490602745877661,2.81413185979365,1.65875359678631,0.274575222622768,2.75023695431466,-28.5622789224016
0.78,1.65629088750384,0.518744064475598,2.51017980688925,1.65386794869638,0.320232311413732,2.45131336761596,-27.3476504276939
0.79,1.64826686782266,0.54384586254449,2.22197638583293,1.64603060504085,0.361512181637558,2.16777253273191,-26.1402507918665
0.8,1.63752129432453,0.56606562640282,1.94923103130682,1.6354585971019,0.398664845415008,1.89934693555429,-24.9450216819632
0.81,1.62426317875111,0.585557936715888,1.69160981670218,1.62236170368219,0.431932179551235,1.64572470106658,-23.7662669441922
0.82,1.60869401334311,0.60247403488291,1.44874220782755,1.60694215913989,0.461547634038847,1.40655632543384,-22.607704740728
0.83,1.59100755515453,0.616961456961185,1.22022721903966,1.5893944354724,0.487736028379498,1.1814608234077,-21.472517012396
0.84,1.57138967624183,0.629163729151582,1.00563900586452,1.56990509090167,0.510713424813917,0.970031322961919,-20.3633962279976
0.85,1.55001827277564,0.639220119210227,0.804531928108934,1.5486526779153,0.530687068597503,0.771840139277958,-19.2825894148758
0.86,1.52706322660122,0.647265438491316,0.616445117063291,1.52580770420788,0.547855386423844,0.5864433600447,-18.2319394933417
0.87,1.50268641323983,0.653429889661949,0.440906579729067,1.50153264044217,0.56240803498622,0.413384973585207,-17.2129239604994
0.88,1.47704175077232,0.65783895545924,0.277436872120022,1.47598196920848,0.574525992481872,0.25220057063231,-16.2266909874853
0.89,1.45027528447807,0.66061332418044,0.125552372633154,1.44930226999978,0.584381686610017,0.102420649692742,-15.2740930087559
0.9,1.42252530251484,0.661868847906772,-0.015231814697128,1.4216323354402,0.592139153296736,-0.0364264450916116,-14.3557178933505
0.91,1.39392247831758,0.6617165297598,-0.145399298525526,1.39310331440287,0.597954221002357,-0.164811925820449,-13.4719177964828
0.92,1.36459003576597,0.660262536774545,-0.265430152909902,1.36383887803102,0.601974716033898,-0.283204275910213,-12.6228357957997
0.93,1.33464393352155,0.657608235245446,-0.37579895860331,1.33395540503178,0.604340684800633,-0.392067253108406,-11.8084304205492
0.94,1.30419306526509,0.653850245659413,-0.47697310851786,1.30356218294699,0.605184629418742,-0.491858156500774,-11.0284981840518
0.95,1.27333947287461,0.649080514574234,-0.569411354360011,1.27276162241847,0.60463175349494,-0.583026334891841,-10.2826942305561
0.96,1.24217856987351,0.643386401030634,-0.653562572830488,1.24164948175803,0.602800215302462,-0.666011915264225,-9.57055120702668
0.97,1.21079937274774,0.636850775302329,-0.729864731151837,1.21031509940487,0.599801385909002,-0.741244731332379,-8.89149646888206
0.98,1.17928473798127,0.629552127990811,-0.798744033023092,1.17884163210631,0.595740110128339,-0.809143433491368,-8.24486772636562
0.99,1.14771160289141,0.62156468766058,-0.860614227396701,1.14730629689176,0.590714968448129,-0.870114762712687,-7.62992723525067
1,1.11615122855961,0.612958545386613,-0.91587606372203,1.11578061512669,0.584818538338605,-0.924552972150255,-7.04587463210299
1.01,1.0846694433512,0.603799784749392,-0.964916878498107,1.08433065713253,0.57813765357294,-0.972839381385702,-6.49185851046518
1.02,1.0533268856992,0.594150615964411,-1.00811029912279,1.05301728604162,0.570753660392287,-1.01534204935905,-5.96698683019685
1.03,1.02217924499398,0.584069512973183,-1.04581605211424,1.02189639972447,0.562742669529098,-1.05241555309644,-5.47033624788975
1.04,0.991277499572962,0.573611352452041,-1.07837986381253,0.991019169779873,0.554175803263158,-1.08440086035901,-5.00096045185032
1.05,0.960668150943378,0.562827553813916,-1.10613344264387,0.960432276718612,0.545119436827754,-1.1116252852956,-4.55789758067185
1.06,0.930393453498071,0.551766219387477,-1.12939453294787,0.930178140598714,0.535635433610181,-1.13440251708659,-4.14017679995037
1.07,0.900491639098631,0.540472274057998,-1.14846703123015,0.900295146485681,0.525781373702877,-1.15303271241715,-3.74682410728064
1.08,0.870997136004357,0.528987603745697,-1.16364115650949,0.870817864215681,0.515610775460326,-1.16780264341673,-3.37686743133281
1.09,0.841940781719175,0.517351192180602,-1.17519366718281,0.841777262033803,0.505173309803802,-1.17898589344828,-3.02934108658574
1.1,0.813350029412963,0.505599255508774,-1.18338811753323,0.813200913764256,0.494515007092098,-1.18684309382814,-2.7032896412011
1.11,0.785249147649372,0.493765374333441,-1.18847514765973,0.785113199245302,0.483678456442877,-1.19162219520632,-2.39777125157928
1.12,0.757659413219787,0.481880622856844,-1.19069280121226,0.757535497829553,0.472702997446982,-1.19355876793968,-2.11186051335769
1.13,0.730599296943269,0.469973694844722,-1.19026686587658,0.730486374810636,0.461624904268005,-1.19287632634934,-1.84465087500017
1.14,0.704084642345638,0.458071026185956,-1.18741123207092,0.703981760690719,0.450477562162334,-1.18978667227015,-1.5952566566912
1.15,0.678128837178016,0.446196913865247,-1.1823282657934,0.678035123250679,0.439291636491668,-1.18449025377678,-1.3628147139903
1.16,0.652742977776521,0.434373631207313,-1.17520919199807,0.652657632426099,0.428095234331071,-1.17717653541033,-1.14648578262305
1.17,0.62793602630101,0.422621539287332,-1.16623448528017,0.6278583180286,0.416914058801894,-1.16802437663243,-0.945455537882978
1.18,0.603714960922188,0.41095919443453,-1.15557426502045,0.603644220383427,0.405771556280649,-1.15720241560449,-0.758935399390057
1.19,0.58008491905354,0.399403451784326,-1.14338869247546,0.580020533981342,0.394689056652835,-1.14486945572805,-0.586163109394263
1.2,0.557049333747715,0.387969564859571,-1.12982836760896,0.556990744266094,0.383685906795167,-1.13117485269195,-0.426403110419475
1.21,0.534610063396671,0.376671281183482,-1.11503472373987,0.534556757698339,0.372779597481063,-1.11625890005435,-0.278946745809903
1.22,0.512767514891339,0.365520933946083,-1.0991404183369,0.512719025253328,0.361985883912978,-1.10025321164382,-0.143112304660958
1.23,0.491520760410143,0.354529529762714,-1.08226971852122,0.491476659523227,0.351318900091573,-1.08328109929753,-0.0182449306828414
1.24,0.470867648016728,0.343706832577502,-1.06453888004758,0.470827545605862,0.340791267236058,-1.06545794466499,0.0962835872486605
1.25,0.450804906255918,0.333061443777026,-1.04605651872307,0.450768445970354,0.330414196472603,-1.04689156399706,0.201075126761306
1.26,0.431328242943568,0.322600878589795,-1.02692397339269,0.431295099496646,0.320197586008729,-1.02768256501195,0.296705631318192
1.27,0.41243243835077,0.312331638855868,-1.00723565977378,0.41240231489067,0.310150113011316,-1.00792469508469,0.383725584072162
1.28,0.394111432986017,0.30225928225813,-0.987079414558204,0.39408405868004,0.300279320404362,-0.987705180145367,0.462660544408824
1.29,0.376358410180715,0.292388488112548,-0.966536829323371,0.376333537996779,0.290591698800272,-0.967105053795893,0.534011736544685
1.3,0.359165873683867,0.282723119819315,-0.94568357390244,0.359143278354065,0.281092763775151,-0.946199476265814,0.598256680649693
1.31,0.342525720471165,0.27326628408029,-0.924589708960532,0.342505196623266,0.271787128694721,-0.925058042926214,0.655849857974642
1.32,0.326429308972136,0.264020386990685,-0.903319987609575,0.326410669415908,0.26267857329292,-0.903745082168287,0.707223402388861
1.33,0.310867522916598,0.254987187114589,-0.881934145969776,0.310850597072776,0.253770108200336,-0.882319942530179,0.752787811579201
1.34,0.295830830998568,0.246167845654891,-0.860487182651995,0.295815463459165,0.245064035614284,-0.860837269023589,0.79293267193272
1.35,0.281309342552077,0.237562973828371,-0.83902962719305,0.281295391761567,0.236562006296718,-0.839347268670922,0.828027391828031
1.36,0.267292859429105,0.229172677556441,-0.817607797526272,0.267280196476779,0.228265073080338,-0.817895965315504,0.858421938699045
1.37,0.25377092426526,0.220996599581178,-0.79626404661289,0.253759431779786,0.220173741057276,-0.796525443812031,0.884447575814791
1.38,0.240732865313826,0.213033959115049,-0.775036998396989,0.240722436451712,0.212288014618635,-0.775274083742845,0.906417595244433
1.39,0.228167838023579,0.205283589131079,-0.753961773278274,0.228158375543884,0.204607441507032,-0.754176782838382,0.924628043952062
1.4,0.216064863530325,0.197743971398297,-0.733070203323349,0.216056278948531,0.197131154038143,-0.733265170307747,0.939358440394734
1.41,0.204412864226485,0.190413269365063,-0.712391037458203,0.204405077041021,0.189857907641082,-0.712567810308403,0.950872479384076
1.42,0.193200696567373,0.183289358990481,-0.691950136902479,0.193193633552756,0.182786116861409,-0.692110395802916,0.95941872331943
1.43,0.182417181267001,0.176369857621456,-0.67177066112045,0.182410775828057,0.175913888964533,-0.671915933065934,0.965231278212519
1.44,0.172051131030457,0.169652151010252,-0.651873244574691,0.17204532261252,0.169239055271368,-0.652004917116563,0.968530453202848
1.45,0.162091375964101,0.163133418564505,-0.632276164576711,0.162086109514485,0.162759200352326,-0.632395498360391,0.96952340251253
1.46,0.152526786799051,0.156810656918738,-0.612995500534528,0.152522012275476,0.156471689200064,-0.613103640731891,0.968404749011389
1.47,0.143346296057725,0.150680701913393,-0.594045284900694,0.14334196797972,0.150373692495889,-0.594143271632186,0.9653571887604
1.48,0.134538917287564,0.144740249064386,-0.575437646125815,0.134534994327205,0.144462210079361,-0.575526423959366,0.96055207607634
1.49,0.126093762480554,0.138985872603128,-0.557182943922506,0.126090207089175,0.138734092725448,-0.557263370529032,0.954149988814488
1.5,0.118000057791718,0.133414043163902,-0.539289897143074,0.117996835859515,0.133186062328501,-0.539362751181709,0.946301273701877
1.51,0.110247157664453,0.128021144192472,-0.521765704571346,0.110244238210169,0.12781473058753,-0.521831692871388,0.937146571672046
1.52,0.10282455746545,0.122803487146758,-0.504616158925063,0.102821912353537,0.122616616282464,-0.504675923025979,0.926817323255557
1.53,0.0957219047268908,0.117757325557508,-0.487845754360321,0.0957195084097802,0.117588161226649,-0.48789987646596,0.915436254170229
